,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,300547,N川环,43.996,31.78,29.13,31.78,29.13,22.07,5614,0.03755,178148,21.917,4.463,189978.34527,47511.1
1,300549,N优德,43.979,21.64,19.84,21.64,19.84,15.03,2300,0.0138,49592,24.591,5.802,144273.88,36073.88
2,601128,N常银,43.925,6.16,5.14,6.16,5.14,4.28,110469,0.0497,679877,12.833,1.439,1369200.4289,136920.042952
3,600397,安源煤业,10.064,5.14,4.9,5.14,4.84,4.67,46538786,4.70108,232955088,182.918,1.557,508839.379348,508839.379348
4,000731,四川美丰,10.063,8.75,7.95,8.75,7.91,7.95,76265430,12.8939,653739774,93.383,1.938,517548.808,517548.808
5,000757,浩物股份,10.057,9.63,8.7,9.63,8.64,8.75,45599218,12.44756,420294629,321.0,7.723,434911.173228,352776.20409
6,300308,中际装备,10.04,13.59,13.59,13.59,13.59,12.35,28300,0.01319,384597,453.0,5.31,293558.6772,291567.910716
7,600173,卧龙地产,10.024,9.11,9.11,9.11,9.11,8.28,4549672,0.62749,41447512,109.364,4.02,660609.33606,660527.34606
8,603189,网达软件,10.02,27.12,27.12,27.12,27.12,24.65,259467,0.47005,7036745,61.636,12.732,598809.6,149702.4
9,300423,鲁亿通,10.018,31.41,31.41,31.41,31.41,28.55,567531,1.28062,17826149,60.404,7.208,338277.5334,139199.514822
10,603738,泰晶科技,10.016,28.12,28.12,28.12,28.12,25.56,2000,0.01199,56240,28.12,5.103,187504.16,46904.16
11,300546,雄帝科技,10.012,35.6,35.6,35.6,35.6,32.36,1600,0.01199,56960,26.567,4.772,189890.4,47490.4
12,300545,联得装备,10.009,23.52,23.52,23.52,23.52,21.38,2500,0.01402,58800,24.5,5.345,167711.561472,41936.16
13,603067,振华股份,10.004,25.18,25.18,25.18,23.6,22.89,28223304,51.3151,698485479,66.263,5.829,553960.0,138490.0
14,600877,中国嘉陵,10.0,8.03,7.28,8.03,7.24,7.3,45493487,6.61933,354385637,-34.523,-64.915,551887.47812,551887.47812
15,300391,康跃科技,10.0,28.38,25.37,28.38,25.31,25.8,23273345,37.73546,631896419,946.0,13.139,473023.65,175033.65
16,300534,陇神戎发,9.992,56.03,56.03,56.03,56.03,50.94,91798,0.42362,5143442,60.021,8.464,485612.01,121417.01
17,300542,新晨科技,9.991,25.32,25.32,25.32,25.32,23.02,9441,0.04187,239046,48.692,4.53,228259.8,57096.6
18,300541,先进数通,9.99,45.47,45.47,45.47,45.47,41.34,93748,0.31249,4262722,66.868,11.036,545640.0,136410.0
19,000912,泸天化,9.989,10.13,10.13,10.13,10.13,9.21,16551545,2.82932,167667151,324.679,10.448,592605.0,592605.0
20,000635,英 力 特,9.988,17.73,17.73,17.73,17.73,16.12,17315736,5.71311,307007999,180.918,1.906,537374.318346,537374.318346
21,300536,农尚环境,9.984,27.98,27.98,27.98,27.98,25.44,23330,0.10023,652773,41.147,6.71,260514.348512,65128.587128
22,600908,无锡银行,9.968,10.37,10.37,10.37,10.37,9.43,1400113,0.75759,14519172,20.74,2.25,1916495.06212,191649.506834
23,002266,浙富控股,9.925,5.87,5.87,5.87,5.87,5.34,1086793,0.07341,6379475,146.75,3.977,1161508.55136,869004.12743
24,000953,河池化工,9.89,15.0,14.29,15.02,14.2,13.65,49694625,16.90008,729434054,-41.22,495.05,441089.1555,441074.3505
25,000679,大连友谊,9.091,15.0,13.73,15.13,13.7,13.75,40105754,11.25484,589944313,-28.582,4.146,534600.0,534513.591
26,000518,四环生物,8.508,7.78,7.15,7.89,7.1,7.17,66267713,6.43666,504553378,-107.607,13.313,800994.740716,800978.769154
27,000835,长城动漫,8.432,14.66,13.52,14.86,13.46,13.52,20324278,6.71001,290465256,244.333,13.169,479030.708284,444044.07
28,600069,银鸽投资,8.294,9.27,8.51,9.42,8.45,8.56,57431126,6.95819,525568770,185.4,4.937,1157918.44114,765121.831488
29,000519,江南红箭,7.985,14.47,13.55,14.7,13.5,13.4,42320961,7.26083,597483017,60.141,3.544,1495075.35663,843408.705276
30,300338,开元仪器,7.458,22.62,20.9,22.96,20.76,21.05,7364115,4.37419,162851153,1498.013,7.56,570024.0,380816.277504
31,002365,永安药业,7.457,28.1,25.86,28.77,25.86,26.15,10990733,7.13939,301369209,298.301,4.568,525470.0,432585.52025
32,600275,武昌鱼,7.449,14.28,13.33,14.62,13.31,13.29,97536077,19.16842,1376703194,-202.553,42.934,726619.575864,726619.575864
33,000595,宝塔实业,7.417,12.31,11.69,12.58,11.68,11.46,31837769,12.85826,385369021,-31.564,6.381,458473.793875,304802.3705
34,300107,建新股份,6.939,7.86,7.31,7.97,7.3,7.35,20407593,6.0613,158108549,182.791,4.756,427416.83352,264635.908902
35,002281,光迅科技,6.842,83.39,78.3,84.42,77.8,78.05,7962074,3.91259,650820709,71.888,6.459,1748926.66198,1696974.69198
36,000011,深物业A,6.254,16.99,16.18,17.09,16.0,15.99,27842492,15.83196,464920183,64.576,4.944,1012568.47731,298790.601574
37,600643,爱建集团,6.1,12.35,11.79,12.48,11.7,11.64,64434695,4.49327,784529120,31.995,2.935,1774867.70734,1771024.43427
38,300397,天和防务,5.882,30.78,29.5,31.5,29.18,29.07,6007187,5.82092,184790088,-66.913,6.142,738720.0,317649.6
39,600965,福成股份,5.858,15.36,14.58,15.37,14.45,14.51,13759894,3.6205,207527497,76.8,7.6,1257524.66688,583764.074496
40,600767,运盛医疗,5.825,17.26,16.3,17.56,16.22,16.31,31932767,9.36692,545400009,-83.786,23.489,588583.574132,588410.974132
41,300500,苏州设计,5.777,97.22,92.0,98.99,92.0,91.91,3889538,25.93025,374625080,85.281,9.029,597903.0,145830.0
42,603588,高能环境,5.622,31.56,29.77,31.77,29.65,29.88,6775911,2.79124,210014880,47.964,5.678,1044392.988,766138.958544
43,600800,天津磁卡,5.603,8.67,8.18,8.84,8.11,8.21,22036687,3.61073,187909649,-216.75,100.814,529971.997749,529139.677749
44,000006,深振业Ａ,5.574,9.66,9.1,9.98,9.07,9.15,87792538,6.52659,837182565,31.293,3.01,1304095.21444,1299416.24081
45,600898,三联商社,5.486,15.96,15.43,16.36,15.43,15.13,30342735,12.01579,480876394,172.168,11.123,403028.01672,403028.01672
46,600747,大连控股,5.439,5.04,4.75,5.06,4.75,4.78,54466769,5.11748,269881300,-84.0,3.678,738021.513096,536421.513096
47,300197,铁汉生态,5.417,11.87,11.19,12.08,11.18,11.26,20338549,2.57867,237089044,30.436,2.518,1803828.84101,936214.840793
48,002411,必康股份,5.19,25.74,24.59,25.85,24.4,24.47,14374958,5.11688,362197112,41.026,5.837,3944098.78177,723119.88177
49,002272,川润股份,5.094,9.49,9.02,9.75,8.95,9.03,29186044,9.3377,272980100,-58.689,3.443,398295.3,296620.852112
